"","X.1","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","Organism","TaxID","Assembly_Accession","Assembly_Status","Accession_Date","Assembly_Length_Total","Assembly_Length_Ungapped","BUSCO_RefseqAnnotationRelease","BUSCO_Lineage","BUSCO_Cover","BUSCO_Complete","BUSCO_SingleCopy","BUSCO_Duplicated","BUSCO_Fragmented","BUSCO_Missing","BUSCO_TotalCount","ContigN50","ScaffoldN50","Sequencing_Method","Sequencing_Attributes","SRA_Species","Species.1","Sequencing_method_1","Sequencing_method_2","Species.2","GS","AssblySz","Seq_Method","Diff","DiffProp","Species.3","GS.1","AssblySz.1","Seq_Method.1","UR","Diff.1","DiffProp.1"
"322",1071,1071,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila atripex","Drosophila atripex (flies)",60715,"GCA_035045925.1","Contig","2023/09/29",173038732,173038732,"","","",NA,NA,NA,NA,NA,NA,14577270,14577270,"OXFORD_NANOPORE","MinION","Drosophila atripex","Drosophila atripex","OXFORD_NANOPORE","","Drosophila atripex",196200000,173038732,"OXFORD_NANOPORE",23161268,0.118049276248726,"Drosophila atripex",196500000,173038732,"OXFORD_NANOPORE",0.811,23461268,0.119395765903308
"323",1073,1073,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila borealis","Drosophila borealis (flies)",40368,"GCA_035045885.1","Contig","2023/09/29",214703831,214703831,"","","",NA,NA,NA,NA,NA,NA,1953869,1953869,"ILLUMINA","Illumina NovaSeq 6000","Drosophila borealis","Drosophila borealis","ILLUMINA","","Drosophila borealis",259650000,214703831,"ILLUMINA",44946169,0.173102903909108,"Drosophila borealis",259650000,214703831,"ILLUMINA",0.727,44946169,0.173102903909108
"324",1075,1075,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila buzzatii","Drosophila buzzatii (flies)",7264,"GCA_035045845.1","Contig","2023/09/29",177128120,177128120,"","","",NA,NA,NA,NA,NA,NA,3125169,3125169,"ILLUMINA","Illumina NovaSeq 6000","Drosophila buzzatii","Drosophila buzzatii","ILLUMINA","","Drosophila buzzatii",163020000,177128120,"ILLUMINA",-14108120,-0.0865422647527911,"Drosophila buzzatii",174450000,177128120,"ILLUMINA",0.9775,-2678120,-0.0153517913442247
"325",1076,1076,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila eohydei","Drosophila eohydei (flies)",54075,"GCA_035045825.1","Contig","2023/09/29",145685390,145685390,"","","",NA,NA,NA,NA,NA,NA,14192769,14192769,"ILLUMINA","Illumina NovaSeq 6000","Drosophila eohydei","Drosophila eohydei","ILLUMINA","","Drosophila eohydei",231400000,145685390,"ILLUMINA",85714610,0.370417502160761,"Drosophila eohydei",224850000,145685390,"ILLUMINA",0.6165,79164610,0.352077429397376
"326",1078,1078,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ezoana","Drosophila ezoana (flies)",47313,"GCA_035045725.1","Contig","2023/09/29",179618447,179618447,"","","",NA,NA,NA,NA,NA,NA,11561277,11561277,"ILLUMINA","Illumina NovaSeq 6000","Drosophila ezoana","Drosophila ezoana","ILLUMINA","","Drosophila ezoana",195400000,179618447,"ILLUMINA",15781553,0.0807653684749232,"Drosophila ezoana",195400000,179618447,"ILLUMINA",0.8415,15781553,0.0807653684749232
"327",1085,1085,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila lacicola","Drosophila lacicola (flies)",40369,"GCA_035045355.1","Contig","2023/09/29",175880786,175880786,"","","",NA,NA,NA,NA,NA,NA,7152290,7152290,"OXFORD_NANOPORE","MinION","Drosophila lacicola","Drosophila lacicola","OXFORD_NANOPORE","","Drosophila lacicola",194200000,175880786,"OXFORD_NANOPORE",18319214,0.0943316889804325,"Drosophila lacicola",194200000,175880786,"OXFORD_NANOPORE",0.8655,18319214,0.0943316889804325
"329",1105,1105,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila miranda","Drosophila miranda (flies)",7229,"GCA_035044445.1","Contig","2023/09/29",161279621,161279621,"","","",NA,NA,NA,NA,NA,NA,5271437,5271437,"OXFORD_NANOPORE","MinION","Drosophila miranda","Drosophila miranda","OXFORD_NANOPORE","","Drosophila miranda",223132000,161279621,"OXFORD_NANOPORE",61852379,0.277200845239589,"Drosophila miranda",205750000,161279621,"OXFORD_NANOPORE",0.859,44470379,0.216137929526124
"330",1106,1106,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila montana","Drosophila montana (flies)",40370,"GCA_035044405.1","Contig","2023/09/29",191421679,191421679,"","","",NA,NA,NA,NA,NA,NA,1323835,1323835,"OXFORD_NANOPORE","PromethION","Drosophila montana","Drosophila montana","OXFORD_NANOPORE","","Drosophila montana",241700000,191421679,"OXFORD_NANOPORE",50278321,0.208019532478279,"Drosophila montana",241700000,191421679,"OXFORD_NANOPORE",0.8215,50278321,0.208019532478279
"331",1107,1107,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila montana","Drosophila montana (flies)",40370,"GCA_035044425.1","Contig","2023/09/29",166670604,166670604,"","","",NA,NA,NA,NA,NA,NA,340449,340449,"OXFORD_NANOPORE","MinION","Drosophila montana","Drosophila montana","OXFORD_NANOPORE","","Drosophila montana",241700000,166670604,"OXFORD_NANOPORE",75029396,0.310423649151841,"Drosophila montana",241700000,166670604,"OXFORD_NANOPORE",0.8215,75029396,0.310423649151841
"332",1119,1119,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila paramelanica","Drosophila paramelanica (flies)",311477,"GCA_035043915.1","Contig","2023/09/29",145052346,145052346,"","","",NA,NA,NA,NA,NA,NA,5600682,5600682,"ILLUMINA","Illumina NovaSeq 6000","Drosophila paramelanica","Drosophila paramelanica","ILLUMINA","","Drosophila paramelanica",191850000,145052346,"ILLUMINA",46797654,0.243928350273651,"Drosophila paramelanica",191850000,145052346,"ILLUMINA",0.7105,46797654,0.243928350273651
"333",1128,1128,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila robusta","Drosophila robusta (flies)",7257,"GCA_035043565.1","Contig","2023/09/29",163373104,163373104,"","","",NA,NA,NA,NA,NA,NA,11176180,11176180,"ILLUMINA","Illumina NovaSeq 6000","Drosophila robusta","Drosophila robusta","ILLUMINA","","Drosophila robusta",245600000,163373104,"ILLUMINA",82226896,0.33480006514658,"Drosophila robusta",245600000,163373104,"ILLUMINA",0.6255,82226896,0.33480006514658
"340",1163,1163,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila algonquin","Drosophila algonquin (flies)",7247,"GCA_035041765.1","Contig","2023/09/29",169371931,169371931,"","","",NA,NA,NA,NA,NA,NA,1517147,1517147,"OXFORD_NANOPORE","MinION","Drosophila algonquin","Drosophila algonquin","OXFORD_NANOPORE","","Drosophila algonquin",209875000,169371931,"OXFORD_NANOPORE",40503069,0.192986630136986,"Drosophila algonquin",199700000,169371931,"OXFORD_NANOPORE",0.893,30328069,0.151868147220831
"344",1191,1191,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_034768405.1","Chromosome","2023/08/22",141741842,141664342,"","","",NA,NA,NA,NA,NA,NA,18385794,24695233,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,141741842,"OXFORD_NANOPORE",27619586.571429,0.163080736885615,"Drosophila melanogaster",173300000,141741842,"OXFORD_NANOPORE",0.774,31558158,0.182101315637623
"440",1719,1719,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila nasuta","Drosophila nasuta (flies)",42062,"GCF_023558535.2","Chromosome","2019/10/07",171766801,171766351,"","","",NA,NA,NA,NA,NA,NA,20479040,33885645,"ILLUMINA","Illumina HiSeq 2500","Drosophila nasuta","Drosophila nasuta","ILLUMINA","","Drosophila nasuta",244050000,171766801,"ILLUMINA",72283199,0.29618192583487,"Drosophila nasuta",244050000,171766801,"ILLUMINA",0.6155,72283199,0.29618192583487
"560",2310,2310,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila immigrans","Drosophila immigrans (flies)",7250,"GCA_963584065.1","Chromosome","2020/11/04",209520433,209481633,"","","",NA,NA,NA,NA,NA,NA,1706758,38035394,"ILLUMINA","Illumina NovaSeq 6000","Drosophila immigrans","Drosophila immigrans","ILLUMINA","","Drosophila immigrans",277093333.333333,209520433,"ILLUMINA",67572900.333333,0.243863320421518,"Drosophila immigrans",264050000,209520433,"ILLUMINA",0.6565,54529567,0.206512277977656
"564",2330,2330,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila immigrans","Drosophila immigrans (flies)",7250,"GCA_963583835.1","Chromosome","2020/11/04",212503670,212475070,"","","",NA,NA,NA,NA,NA,NA,2126425,39491659,"","","Drosophila immigrans","Drosophila immigrans","","","Drosophila immigrans",277093333.333333,212503670,"",64589663.333333,0.233097139351361,"Drosophila immigrans",264050000,212503670,"",0.6565,51546330,0.19521427759894
"976",3685,3685,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila phalerata","Drosophila phalerata (flies)",7283,"GCA_951394115.2","Chromosome","2022/01/04",223932321,223858721,"","","",NA,NA,NA,NA,NA,NA,923726,36533264,"PACBIO_SMRT","Sequel II","Drosophila phalerata","Drosophila phalerata","PACBIO_SMRT","","Drosophila phalerata",236800000,223932321,"PACBIO_SMRT",12867679,0.0543398606418919,"Drosophila phalerata",236800000,223932321,"PACBIO_SMRT",0.6765,12867679,0.0543398606418919
"1007",3789,3789,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila phalerata","Drosophila phalerata (flies)",7283,"GCA_951394015.2","Scaffold","2022/01/04",162594553,162594353,"","","",NA,NA,NA,NA,NA,NA,702709,707815,"PACBIO_SMRT","Sequel II","Drosophila phalerata","Drosophila phalerata","PACBIO_SMRT","","Drosophila phalerata",236800000,162594553,"PACBIO_SMRT",74205447,0.313367597128378,"Drosophila phalerata",236800000,162594553,"PACBIO_SMRT",0.6765,74205447,0.313367597128378
"1055",3939,3939,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae","Drosophila ananassae (flies)",7217,"GCA_030555595.1","Chromosome","2020/03/30",213920045,213817545,"","","",NA,NA,NA,NA,NA,NA,21221877,26948812,"OXFORD_NANOPORE","MinION","Drosophila ananassae","Drosophila ananassae","OXFORD_NANOPORE","","Drosophila ananassae",200056000,213920045,"OXFORD_NANOPORE",-13864045,-0.0693008207701843,"Drosophila ananassae",201850000,213920045,"OXFORD_NANOPORE",0.79,-12070045,-0.0597971018082735
"1070",4042,4042,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila novamexicana","Drosophila novamexicana (flies)",47314,"GCA_030788195.1","Chromosome","2023/08/20",177223868,177223868,"","","",NA,NA,NA,NA,NA,NA,30194120,30194120,"","","Drosophila novamexicana","Drosophila novamexicana","","","Drosophila novamexicana",248833333.333333,177223868,"",71609465.333333,0.287780838580039,"Drosophila novamexicana",2.51e+08,177223868,"",0.724,73776132,0.293928812749004
"1071",4043,4043,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila virilis","Drosophila virilis (flies)",7244,"GCA_030788295.1","Chromosome","2023/08/20",189440335,189440335,"","","",NA,NA,NA,NA,NA,NA,29144718,29144718,"","","Drosophila virilis","Drosophila virilis","","","Drosophila virilis",351840000,189440335,"",162399665,0.461572490336517,"Drosophila virilis",331800000,189440335,"",0.5295,142359665,0.429052637130802
"1388",6097,6097,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila funebris","Drosophila funebris (flies)",7221,"GCA_958295475.1","Chromosome","2022/01/04",181096236,181023836,"","","",NA,NA,NA,NA,NA,NA,674442,26827462,"PACBIO_SMRT","Sequel II","Drosophila funebris","Drosophila funebris","PACBIO_SMRT","","Drosophila funebris",249590000,181096236,"PACBIO_SMRT",68493764,0.274425113185624,"Drosophila funebris",220450000,181096236,"PACBIO_SMRT",0.706,39353764,0.178515599909276
"1391",6103,6103,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila funebris","Drosophila funebris (flies)",7221,"GCA_958295065.1","Contig","2022/01/04",124070449,124070449,"","","",NA,NA,NA,NA,NA,NA,511590,511590,"PACBIO_SMRT","Sequel II","Drosophila funebris","Drosophila funebris","PACBIO_SMRT","","Drosophila funebris",249590000,124070449,"PACBIO_SMRT",125519551,0.502902964862374,"Drosophila funebris",220450000,124070449,"PACBIO_SMRT",0.706,96379551,0.437194606486732
"1479",6441,6441,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila takahashii","Drosophila takahashii (flies)",29030,"GCA_030179915.1","Chromosome","2023/03/23",197702814,197694814,"","","",NA,NA,NA,NA,NA,NA,16603674,39663708,"PACBIO_SMRT","Sequel","Drosophila takahashii","Drosophila takahashii","PACBIO_SMRT","","Drosophila takahashii",203466666.666667,197702814,"PACBIO_SMRT",5763852.66666701,0.0283282404980357,"Drosophila takahashii",207400000,197702814,"PACBIO_SMRT",0.84,9697186,0.0467559594985535
"1480",6442,6442,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila kikkawai","Drosophila kikkawai (flies)",30033,"GCA_030179895.1","Chromosome","2023/03/23",188508528,188505005,"","","",NA,NA,NA,NA,NA,NA,27867843,33485576,"PACBIO_SMRT","Sequel","Drosophila kikkawai","Drosophila kikkawai","PACBIO_SMRT","","Drosophila kikkawai",217293333.333333,188508528,"PACBIO_SMRT",28784805.333333,0.132469804258451,"Drosophila kikkawai",223250000,188508528,"PACBIO_SMRT",0.785,34741472,0.155616895856663
"1481",6443,6443,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila bipectinata","Drosophila bipectinata (flies)",42026,"GCA_030179905.1","Chromosome","2023/03/23",193853077,193844077,"","","",NA,NA,NA,NA,NA,NA,18718568,26081539,"PACBIO_SMRT","Sequel","Drosophila bipectinata","Drosophila bipectinata","PACBIO_SMRT","","Drosophila bipectinata",205833333.333333,193853077,"PACBIO_SMRT",11980256.333333,0.0582036744939255,"Drosophila bipectinata",210950000,193853077,"PACBIO_SMRT",0.79,17096923,0.0810472766058308
"1631",6910,6910,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila phalerata","Drosophila phalerata (flies)",7283,"GCA_951394115.1","Chromosome","2022/01/04",223932721,223858721,"","","",NA,NA,NA,NA,NA,NA,923726,61822819,"PACBIO_SMRT","Sequel II","Drosophila phalerata","Drosophila phalerata","PACBIO_SMRT","","Drosophila phalerata",236800000,223932721,"PACBIO_SMRT",12867279,0.0543381714527027,"Drosophila phalerata",236800000,223932721,"PACBIO_SMRT",0.6765,12867279,0.0543381714527027
"1634",6915,6915,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila phalerata","Drosophila phalerata (flies)",7283,"GCA_951394015.1","Scaffold","2022/01/04",162594553,162594353,"","","",NA,NA,NA,NA,NA,NA,702709,707815,"PACBIO_SMRT","Sequel II","Drosophila phalerata","Drosophila phalerata","PACBIO_SMRT","","Drosophila phalerata",236800000,162594553,"PACBIO_SMRT",74205447,0.313367597128378,"Drosophila phalerata",236800000,162594553,"PACBIO_SMRT",0.6765,74205447,0.313367597128378
"1996",7782,7782,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_026123175.2","Contig","2020/04/30",190945152,190945152,"","","",NA,NA,NA,NA,NA,NA,249806,249806,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,190945152,"OXFORD_NANOPORE",-21583723.428571,-0.127441788904538,"Drosophila melanogaster",173300000,190945152,"OXFORD_NANOPORE",0.774,-17645152,-0.101818534333526
"2073",8032,8032,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775815.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2074",8033,8033,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775795.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2075",8034,8034,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775775.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2076",8035,8035,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775755.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2077",8036,8036,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775735.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2078",8037,8037,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775715.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2079",8038,8038,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775695.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2080",8039,8039,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775675.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2081",8040,8040,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775655.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
"2082",8041,8041,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029775635.1","Chromosome","2023/02/28",133880608,133646434,"","","",NA,NA,NA,NA,NA,NA,19478218,25286936,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,133880608,"",35480820.571429,0.209497645778683,"Drosophila melanogaster",173300000,133880608,"",0.774,39419392,0.227463312175418
